0,Week ended,Estimated total death occurrences,Upper 95% confidence interval,Lower 95% confidence interval,Five-year average occurrences,Death occurrences in 2020,Death occurrences in 2021
32,2021-08-13 00:00:00,9923,9982,9876,9036,8987,[z]
33,2021-08-20 00:00:00,9969,10031,9920,8998,10123,[z]
34,2021-08-27 00:00:00,9982,10047,9931,8970,8799,[z]
35,2021-09-03 00:00:00,10169,10237,10115,8919,8595,[z]
36,2021-09-10 00:00:00,11347,11429,11282,8917,8977,[z]
37,2021-09-17 00:00:00,10367,10445,10305,9124,9098,[z]
38,2021-09-24 00:00:00,10147,10224,10085,9200,9405,[z]
39,2021-10-01 00:00:00,10622,10707,10553,9435,9496,[z]
40,2021-10-08 00:00:00,10969,11061,10895,9520,9873,[z]
41,2021-10-15 00:00:00,11019,11113,10942,9799,10188,[z]
42,2021-10-22 00:00:00,11245,11343,11165,9840,10240,[z]
43,2021-10-29 00:00:00,11653,11759,11566,9816,10873,[z]
44,2021-11-05 00:00:00,11631,11736,11543,10079,11207,[z]
45,2021-11-12 00:00:00,11786,11896,11694,10199,11556,[z]
46,2021-11-19 00:00:00,11378,11487,11286,10236,12102,[z]
47,2021-11-26 00:00:00,11396,11510,11300,10305,12097,[z]
48,2021-12-03 00:00:00,12083,12208,11978,10474,12170,[z]
49,2021-12-10 00:00:00,12437,12570,12325,10867,12374,[z]
50,2021-12-17 00:00:00,12045,12179,11932,11044,12744,[z]
51,2021-12-24 00:00:00,12141,12280,12023,11408,12763,[z]
52,2021-12-31 00:00:00,12570,12718,12444,11630,13137,[z]
01,2022-01-07 00:00:00,12134,12278,12011,12693,12490,16197
02,2022-01-14 00:00:00,12339,12489,12210,12860,12176,18222
03,2022-01-21 00:00:00,11652,11798,11526,12588,11750,18937
04,2022-01-28 00:00:00,11429,11597,11284,12145,10917,17661
05,2022-02-04 00:00:00,11509,11978,11129,12051,11156,15596
06,2022-02-11 00:00:00,10433,11829,9285,11628,10772,13748
